,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
20190422,0.9866208804862975,1.0817656015735087,1.0124171257287404,1.0168955734011602,1.0017368722856244,1.0188689745921833,0.9505058564742767,1.0085829622715865,0.9915785994766282,1.011878531695859
20190423,0.9857424729001052,1.083488054096651,1.0108709593101803,1.016732109419176,1.0021769941846035,1.0199338313436555,0.9508614123850988,1.0074954028213683,0.9910479911833046,1.0137561981812413
20190424,0.9891166591167144,1.0787510661459285,1.0153748238379012,1.012320294843188,1.000701682667514,1.0165876529202091,0.9492297579168311,1.0088096403702929,0.9912070054624884,1.0133954563625545
20190425,0.9885343166163704,1.0785975619548824,1.016514741903279,1.0077636170513924,1.0008689781779314,1.0162896218924726,0.9482626091815697,1.0082234940624566,0.9914019486518306,1.0117066684118234
20190426,0.9979512647970245,1.073183211559494,1.0184155072360794,0.9983620336047893,0.9993977060336194,1.0111751660033839,0.945218825513703,1.0111111476443837,0.9933231587390968,1.008779664028042
20190429,0.9950239496599401,1.074546316987379,1.020698493709393,0.9982724711289117,0.9992669186302349,1.0131310029464542,0.9426498931186994,1.0129580295471179,0.9922797614434605,1.008752753967825
20190430,0.9963578089047053,1.0657130496579719,1.0173583730005682,0.9980454972292823,0.9979614640237098,1.011983211633623,0.9396969344042896,1.013082376165255,0.9903881621228597,1.0098205003236935
20190506,0.9927693176747067,1.0656372646840946,1.0194873589064526,0.9974970325540798,0.9962694596349101,1.0127203260615822,0.9393687367722325,1.0144885052735997,0.9902188443815751,1.0093019124130636
20190507,0.9891901816079361,1.0688176561630665,1.020404052478293,0.9957909717524367,0.9959491785462649,1.0136883618069403,0.9382116842686846,1.0140110218214256,0.9897727367287884,1.0084183628332475
20190508,0.9850491842524517,1.0682753255810218,1.0243444606649317,0.9913466847594357,0.9951800201953205,1.0143287298857568,0.9384205977096135,1.0144726180182981,0.9884036860612126,1.0066928832949766
20190509,0.984696383575605,1.072229195477553,1.033876549892344,0.9938523687632264,0.9948685395824847,1.0137192151175833,0.9389302189433834,1.0146844890964113,0.9890295855595822,1.0053719084344719
20190510,0.9807505498704736,1.070657444697972,1.035574899161649,0.9926218487601738,0.9945884234427003,1.0127827151065636,0.9387363151509093,1.013505668686234,0.9889432705559335,1.0035440026835571
20190513,0.9798225092361317,1.070129935125139,1.0385451177875107,0.9943502983913509,0.9934747472327471,1.0134233030360051,0.938282332742301,1.0148601534875492,0.9896116336885922,1.001687039861345
20190514,0.9786333840194069,1.073139293153797,1.0425148274577736,0.9972151070030928,0.9931950626837664,1.0138595796692413,0.9386256052281313,1.015930780725631,0.9903738320371228,1.0014823538074276
20190515,0.9783173737171481,1.0733587798973374,1.0382473289275584,0.9954808657662324,0.9932080828011522,1.014449254956071,0.9383672500677056,1.0158464083893497,0.9905718617327309,1.001514466341689
20190516,0.9802473017229297,1.0650082357853305,1.0368277817375575,0.9920555879977908,0.9934868973603701,1.0130317927908723,0.9383010304405515,1.015588251622895,0.9903552586690318,1.0020480471907218
20190517,0.9775795858081326,1.0661465895148619,1.040165578295886,0.9858388995495467,0.9934589283672277,1.0133046468447813,0.937878722705147,1.0140763776684796,0.990190042597596,1.0011309648159523
20190520,0.9780175658031562,1.0719755744505683,1.0432033609410816,0.9868872579269902,0.9939917941303716,1.013051518782451,0.9367085369453836,1.0152753878000695,0.9908516907628222,1.0000052844774368
20190521,0.9777689271496802,1.06938051582066,1.0440976920170428,0.9853582380176553,0.9931322476625978,1.0111220647988133,0.9366491431160427,1.0145262216105215,0.9909793412483652,1.00003537988422
20190522,0.9789298148429547,1.0674841279456382,1.0454286783444915,0.9813751780092628,0.9941838772194821,1.0112765346852082,0.9358695448380897,1.014447869385558,0.9910913127943811,0.9993975645512764
20190523,0.9788661170821478,1.0689327760572007,1.0494277097302247,0.9767427867501127,0.9918841971995299,1.0104916171485017,0.9346403798490007,1.015260353297509,0.9905869345770127,0.9994270319489293
20190524,0.975850269495813,1.072478970609358,1.052569603121435,0.9782839509982434,0.9925677890725645,1.0106305327990175,0.9354756161472003,1.0160380299380682,0.9906870792366411,0.9989582783808617
20190527,0.976646915364386,1.0725576771051208,1.0538474809101517,0.981057346608903,0.989256917537234,1.010318256331114,0.9338088668450675,1.0159476086275063,0.9912881906426678,0.9975304761338851
20190528,0.9738921318979822,1.071482850017141,1.051827199633647,0.9800069792689181,0.9901586072790661,1.008575571141735,0.9351217061754612,1.0153888752478242,0.992666776444293,0.9972078303424226
20190529,0.9735978809016713,1.0688104935899876,1.052353116917069,0.9770192994609123,0.9901287240184932,1.0083034627546779,0.9351784376780568,1.014421971240113,0.9924424746601798,0.9972936149670444
20190530,0.9720840680540277,1.0676226753628264,1.0533435268408817,0.975505327032975,0.9890237287542186,1.0063620564373243,0.9351151175983288,1.014158969141054,0.9921024754073887,0.9973248935842143
20190531,0.9751129462918637,1.064492988098541,1.0533705513438962,0.9705373258149639,0.9880439099352963,1.005092827854352,0.9358664580639042,1.0143361500827184,0.991046572933875,0.9969103133058419
20190603,0.9762914281510002,1.0633909889024533,1.0545334389446173,0.9670399292332249,0.9875966102212498,1.006092007897746,0.9349032008626259,1.0147651436878389,0.9912232570307118,0.9966093930647805
20190604,0.9737355576667598,1.0617264247017124,1.0516541797700247,0.9631890158659527,0.9861809736547215,1.006510318305884,0.9372472313093407,1.0158947989673803,0.9915911748438931,0.9963600887170457
20190605,0.9764778571979522,1.0594456778397534,1.0538999143480237,0.9591014182502886,0.9850092417429004,1.0065772825040442,0.9366222013793332,1.0169274631687901,0.9918075320397071,0.9955620152438696
20190606,0.9763660097557586,1.060771744445784,1.0530512759163484,0.9579040313533002,0.9847763200622346,1.004982559654451,0.9372468848135538,1.0178822024128344,0.9930485223205542,0.9955010816571828
20190610,0.9762981028438578,1.068524868308811,1.0559989816771929,0.9604437188752751,0.9855205833156332,1.0062917790045074,0.9378529667189662,1.01837419503738,0.9931583765913066,0.994882977564967
20190611,0.9744104135098599,1.0665480838153019,1.0525113329235252,0.9602483678546838,0.9848398065482223,1.0052291903576993,0.9385229193364276,1.017331826926531,0.9932335951412674,0.9950052711340063
20190612,0.9715301593046675,1.0697252824539443,1.0523830733526887,0.962580653012329,0.9837581494028724,1.0081225561663645,0.9380583619901932,1.0153930301174396,0.9921177085881743,0.9953071560706185
20190613,0.9745160366966938,1.0652970621271638,1.0516781820343646,0.9601465308933715,0.9833480258114516,1.0065208098440583,0.9349270429746472,1.0156160471159128,0.9918562750538453,0.9961846949759825
20190614,0.9724786045924816,1.0663980044896753,1.0531816273300956,0.9581415635533626,0.9822559097005014,1.0074286270833919,0.9346123482403694,1.0177007807804872,0.9924381234723587,0.9952390322915782
20190617,0.9728638541863993,1.0663005021146237,1.0550928207783072,0.9568352970233287,0.9817619805388081,1.0066575477141555,0.9340266186816389,1.0182628290724072,0.9923615337101871,0.9954501235405145
20190618,0.9729221575443162,1.0699137220284802,1.0567804190867551,0.9573338774021541,0.9819895206022119,1.0051569253495514,0.933838768111309,1.0191100740179568,0.9929647472491707,0.9946091918897684
20190619,0.976075663395568,1.075585936366035,1.0600405777283761,0.9554307987306916,0.9820967574562163,1.0049813509472307,0.9334739597955016,1.018710988921551,0.9938620726762178,0.9941947020125025
20190620,0.9707315010039933,1.079716637773886,1.056825995500492,0.9589164665117923,0.979170944708798,1.0056690995814757,0.9322350519200928,1.0176474084785607,0.9939167665071664,0.9931687106170914
20190621,0.9698382042727096,1.0778383098360131,1.0586337008593798,0.9595618266612351,0.9783804043780302,1.0063571056830978,0.9324773945657483,1.017607921050169,0.9946469708722661,0.9939074340790766
20190624,0.969420709914587,1.0754429464892516,1.0579703366328939,0.9595225578664782,0.9773172200497472,1.0067966515048943,0.9331418733148649,1.0158262510958367,0.9940197826461435,0.9942211967255752
20190625,0.9693179728747031,1.0740909283960354,1.0553788971880527,0.9583382966774756,0.976269431656702,1.0054742164361163,0.9315496421793277,1.0164176688908495,0.9939787394050132,0.9934431382673287
20190626,0.9712224868081043,1.0765743477125589,1.0564292374054582,0.9580578746193112,0.9764537147069959,1.004045650329523,0.9312376860415195,1.0168342092004754,0.9948265994947195,0.9926852865243286
20190627,0.9741396316403055,1.0747250260831207,1.0569497212974948,0.9559684584603477,0.9759479687047424,1.0028907745726061,0.9306050887003153,1.0159847971192708,0.9953401478580861,0.9923669425748948
20190628,0.9755764481063259,1.080957404300677,1.0570150719353208,0.9570122413210056,0.9760840759281564,1.0024069305820533,0.9313844209125208,1.0165214333794828,0.9961249820403258,0.9921694968873426
20190701,0.9758606391743951,1.0801401119090952,1.054355711280913,0.9576834213714686,0.9754249661603532,1.0017888125864114,0.9307927152965318,1.0173260638541817,0.9958588484352257,0.9920852285515946
20190702,0.9761118460557595,1.077541021404925,1.053744326625436,0.9560789133994332,0.9763304767014245,1.0027802072531347,0.9312429366190076,1.0181789594316881,0.9961549259857163,0.9921567970858622
20190703,0.9752812980571947,1.0774650453529222,1.052972603233993,0.9527590414863945,0.9766301079050185,1.0037889131989888,0.9311253183256583,1.01846703626141,0.9959034563417422,0.9934791045441971
20190704,0.9747959562077793,1.0765749794736783,1.0560370839858022,0.9524679238765413,0.9763875049806039,1.0033114501403622,0.9307902968478853,1.018542818469978,0.996771271127033,0.9923143588896938
20190705,0.9768036992195168,1.071356449183284,1.0584831076687595,0.9514071850129411,0.9759336978299828,1.001806606318948,0.9296508618522482,1.0183305434084717,0.9970264168410129,0.9919556489894591
20190708,0.975533873010679,1.0731735662069923,1.0592907162343068,0.9503733574129651,0.9762183582983308,1.0017876815782178,0.9298521832477391,1.0185029378212653,0.9971603721297372,0.9915330674856653
20190709,0.9750846778638632,1.0724058178948856,1.0591409472496844,0.9492955336823374,0.9741881957330973,1.001426745680288,0.9288968657808384,1.0170383818749265,0.997466363817866,0.9917958329305017
20190710,0.9739397431316931,1.0711757745651953,1.0568070462945636,0.9492068928771162,0.9735754669702203,1.0007401540210294,0.9286254637109874,1.0177398276740115,0.9977014791951685,0.9922150542964462
20190711,0.9740876649137278,1.0725343398602791,1.0585561598034177,0.9476033034681915,0.9730913311535709,1.0005763848411946,0.927026265427638,1.0182337517544406,0.9978808889934702,0.9933599194445639
20190712,0.9742579828733375,1.0748789789970252,1.0630977011731622,0.9484765814490715,0.9732881059697888,1.0024734320803537,0.9270342183830835,1.0170573694133134,0.9973205795419718,0.9932399900355577
20190715,0.9724672296782589,1.075924470201446,1.061699720517186,0.9495976060909159,0.9732001055038102,1.0032105197676155,0.9268269212173726,1.017530007667835,0.9977341033034344,0.9944806096527726
20190716,0.9720345504071236,1.0774951638769923,1.0635807084066926,0.9501594129292407,0.9725088197860923,1.0032531146093435,0.9263878688328455,1.0182535381095492,0.9982814544964114,0.994575676020112
20190717,0.9724979640969365,1.0729669111729636,1.0648752537209918,0.9492214495811412,0.9720275942044414,1.0034828095158002,0.9260429627726066,1.0171848845385363,0.9983127154393473,0.9955003966630682
20190718,0.973054139582602,1.0744406333563,1.065664243299845,0.948034480253101,0.9710132582297176,1.002517085602429,0.926340067215966,1.0171574170853745,0.9981635910038762,0.9962343512352866
20190719,0.9794240383870989,1.0712718884881132,1.0654853582880268,0.9435426935487716,0.970343461180204,0.9995866048615971,0.923982808701865,1.0177881322133049,0.998614843489282,0.996043836598879
20190722,0.9771059062843361,1.072438521666575,1.0655222382075629,0.9448243222869477,0.9697342524776499,0.9998829064741988,0.9253484181131009,1.017649063295245,0.9982831636814342,0.9952093666214555
20190723,0.9760836134735809,1.074205610070211,1.0643352770157979,0.9457132057242204,0.96939373603491,0.998774832887276,0.9258002801449872,1.018054172534559,0.9992641442043508,0.9940311673814788
20190724,0.9768656634846647,1.0743208803147155,1.063951813465811,0.9450573175808452,0.968610970816673,0.9981184035321959,0.9269823276740097,1.0177481508984039,0.9991320064900225,0.9933560857999465
20190725,0.9777812491807776,1.0749008529571664,1.0648422714674692,0.9439084972330675,0.9682405572310113,0.9972452625459242,0.9258989987830644,1.0176755382489986,0.9995785699787779,0.9919748902448922
20190726,0.9779218695090287,1.0733917945388634,1.0660592546968994,0.943248604570687,0.9686534951537468,0.9959717617497442,0.9265504997384194,1.0187619165102737,0.9997191314963763,0.9916284578750812
20190729,0.9776012709113712,1.0749672540899309,1.0658448582416835,0.9432487767301574,0.9688387556623309,0.9959005379118456,0.926334021706683,1.0205181434969026,0.9995111558536277,0.9907024310737342
20190730,0.9778276251138011,1.073050493069917,1.0657884320390878,0.9419139372549564,0.9693198036431078,0.9952740095744823,0.9258405608857408,1.020407293831012,0.9999855847284946,0.989152958805795
20190731,0.9761155205679146,1.073215238673076,1.063160895397837,0.9415027861238554,0.9683337329934998,0.9942634680964907,0.9260543831987964,1.0218394588336563,1.000262306163131,0.9885970389128091
20190801,0.9762645419688311,1.0682427850159824,1.0657167921545885,0.9413557902702235,0.9690516195034655,0.9928259303210567,0.9265899255866418,1.02062412499363,1.000906456800773,0.9886386203449938
20190802,0.9729687058968156,1.064924498955489,1.0685640086122106,0.9429990856853092,0.9690694700517961,0.9956065483046356,0.9279603584802208,1.0185831365674465,1.000269895165244,0.9885808116099727
20190805,0.9769616760599812,1.0588001059096956,1.0730489053198056,0.9408268174486363,0.9692273955827629,0.993634447598117,0.9305699015209445,1.0180125904565975,1.0000064839370442,0.9884752129619016
20190806,0.9760148582515921,1.0571003253071305,1.0730458924099109,0.9411436562892707,0.9687907625464812,0.9926430092617204,0.9289629910726631,1.0180220434612333,1.0005568503511737,0.9896542285325989
20190807,0.977132397900359,1.0595612253728839,1.0750587471586648,0.9418087490892624,0.9673361788573406,0.99300460972251,0.9287724712905369,1.016980963191157,1.0011035651826026,0.9895438595627523
20190808,0.976799401247562,1.056907117085469,1.074612020249926,0.9410333398201091,0.9673680328577883,0.9924596131847219,0.9282724885731578,1.016190224872871,1.0021067946454913,0.9897929269083229
20190809,0.9770938090799256,1.059793039312158,1.0764393448013168,0.9393841318080469,0.9678852039134641,0.9916862518143527,0.9303294103550233,1.0166508815602457,1.0022693679700645,0.9893738857542504
